18:00:43.315060 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 2018407598:2018410494, ack 646911753, win 58, options [nop,nop,TS val 28020843 ecr 28020842], length 2896
18:00:43.317482 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 2896:5792, ack 1, win 58, options [nop,nop,TS val 28020843 ecr 28020843], length 2896
18:00:43.319904 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 5792:8688, ack 1, win 58, options [nop,nop,TS val 28020844 ecr 28020843], length 2896
18:00:43.322327 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 8688:11584, ack 1, win 58, options [nop,nop,TS val 28020844 ecr 28020844], length 2896
18:00:43.324749 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 11584:14480, ack 1, win 58, options [nop,nop,TS val 28020845 ecr 28020844], length 2896
18:00:43.327171 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [P.], seq 14480:17376, ack 1, win 58, options [nop,nop,TS val 28020846 ecr 28020845], length 2896
18:00:43.329595 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 17376:20272, ack 1, win 58, options [nop,nop,TS val 28020846 ecr 28020846], length 2896
18:00:43.332016 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 20272:23168, ack 1, win 58, options [nop,nop,TS val 28020847 ecr 28020846], length 2896
18:00:43.334438 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 23168:26064, ack 1, win 58, options [nop,nop,TS val 28020847 ecr 28020847], length 2896
18:00:43.336861 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 26064:28960, ack 1, win 58, options [nop,nop,TS val 28020848 ecr 28020847], length 2896
18:00:43.339283 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 28960:31856, ack 1, win 58, options [nop,nop,TS val 28020849 ecr 28020848], length 2896
18:00:43.341705 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 31856:34752, ack 1, win 58, options [nop,nop,TS val 28020849 ecr 28020849], length 2896
18:00:43.344128 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 34752:37648, ack 1, win 58, options [nop,nop,TS val 28020850 ecr 28020849], length 2896
18:00:43.346550 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 37648:40544, ack 1, win 58, options [nop,nop,TS val 28020850 ecr 28020850], length 2896
18:00:43.348973 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 40544:43440, ack 1, win 58, options [nop,nop,TS val 28020851 ecr 28020850], length 2896
18:00:43.351395 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 43440:46336, ack 1, win 58, options [nop,nop,TS val 28020852 ecr 28020851], length 2896
18:00:43.353818 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 46336:49232, ack 1, win 58, options [nop,nop,TS val 28020852 ecr 28020852], length 2896
18:00:43.356244 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 49232:52128, ack 1, win 58, options [nop,nop,TS val 28020853 ecr 28020852], length 2896
18:00:43.358676 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 52128:55024, ack 1, win 58, options [nop,nop,TS val 28020853 ecr 28020853], length 2896
18:00:43.361088 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 55024:57920, ack 1, win 58, options [nop,nop,TS val 28020854 ecr 28020853], length 2896
