17:48:25.910994 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 3574583819:3574586715, ack 2860355411, win 58, options [nop,nop,TS val 27836492 ecr 27836491], length 2896
17:48:25.913415 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 2896:5792, ack 1, win 58, options [nop,nop,TS val 27836492 ecr 27836492], length 2896
17:48:25.915837 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 5792:8688, ack 1, win 58, options [nop,nop,TS val 27836493 ecr 27836492], length 2896
17:48:25.918270 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 8688:11584, ack 1, win 58, options [nop,nop,TS val 27836493 ecr 27836493], length 2896
17:48:25.920682 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 11584:14480, ack 1, win 58, options [nop,nop,TS val 27836494 ecr 27836493], length 2896
17:48:25.923114 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 14480:17376, ack 1, win 58, options [nop,nop,TS val 27836495 ecr 27836494], length 2896
17:48:25.925526 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 17376:20272, ack 1, win 58, options [nop,nop,TS val 27836495 ecr 27836495], length 2896
17:48:25.927948 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 20272:23168, ack 1, win 58, options [nop,nop,TS val 27836496 ecr 27836495], length 2896
17:48:25.930371 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 23168:26064, ack 1, win 58, options [nop,nop,TS val 27836496 ecr 27836495], length 2896
17:48:25.932793 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 26064:28960, ack 1, win 58, options [nop,nop,TS val 27836497 ecr 27836495], length 2896
17:48:25.935216 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 28960:31856, ack 1, win 58, options [nop,nop,TS val 27836498 ecr 27836497], length 2896
17:48:25.937638 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 31856:34752, ack 1, win 58, options [nop,nop,TS val 27836498 ecr 27836498], length 2896
17:48:25.940060 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 34752:37648, ack 1, win 58, options [nop,nop,TS val 27836499 ecr 27836498], length 2896
17:48:25.942483 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 37648:40544, ack 1, win 58, options [nop,nop,TS val 27836499 ecr 27836499], length 2896
17:48:25.944905 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 40544:43440, ack 1, win 58, options [nop,nop,TS val 27836500 ecr 27836499], length 2896
17:48:25.947328 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 43440:46336, ack 1, win 58, options [nop,nop,TS val 27836501 ecr 27836500], length 2896
17:48:25.949750 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 46336:49232, ack 1, win 58, options [nop,nop,TS val 27836501 ecr 27836501], length 2896
17:48:25.952172 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 49232:52128, ack 1, win 58, options [nop,nop,TS val 27836502 ecr 27836501], length 2896
17:48:25.954595 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 52128:55024, ack 1, win 58, options [nop,nop,TS val 27836502 ecr 27836502], length 2896
17:48:25.957017 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 55024:57920, ack 1, win 58, options [nop,nop,TS val 27836503 ecr 27836502], length 2896
17:48:25.959440 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 57920:60816, ack 1, win 58, options [nop,nop,TS val 27836504 ecr 27836503], length 2896
17:48:25.961862 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 60816:63712, ack 1, win 58, options [nop,nop,TS val 27836504 ecr 27836504], length 2896
17:48:25.964285 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 63712:66608, ack 1, win 58, options [nop,nop,TS val 27836505 ecr 27836504], length 2896
17:48:25.966707 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 66608:69504, ack 1, win 58, options [nop,nop,TS val 27836505 ecr 27836505], length 2896
17:48:25.969129 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 69504:72400, ack 1, win 58, options [nop,nop,TS val 27836506 ecr 27836505], length 2896
17:48:25.971552 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 72400:75296, ack 1, win 58, options [nop,nop,TS val 27836507 ecr 27836506], length 2896
17:48:25.973974 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 75296:78192, ack 1, win 58, options [nop,nop,TS val 27836507 ecr 27836507], length 2896
17:48:25.976396 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 78192:81088, ack 1, win 58, options [nop,nop,TS val 27836508 ecr 27836507], length 2896
17:48:25.978819 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 81088:83984, ack 1, win 58, options [nop,nop,TS val 27836508 ecr 27836508], length 2896
17:48:25.981241 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 83984:86880, ack 1, win 58, options [nop,nop,TS val 27836509 ecr 27836508], length 2896
17:48:25.983664 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 86880:89776, ack 1, win 58, options [nop,nop,TS val 27836510 ecr 27836509], length 2896
17:48:25.986086 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 89776:92672, ack 1, win 58, options [nop,nop,TS val 27836510 ecr 27836510], length 2896
17:48:25.988508 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 92672:95568, ack 1, win 58, options [nop,nop,TS val 27836511 ecr 27836510], length 2896
17:48:25.990931 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 95568:98464, ack 1, win 58, options [nop,nop,TS val 27836511 ecr 27836511], length 2896
