17:41:19.440842 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 664984305:664987201, ack 2191209970, win 58, options [nop,nop,TS val 27729874 ecr 27729873], length 2896
17:41:19.443263 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 2896:5792, ack 1, win 58, options [nop,nop,TS val 27729875 ecr 27729874], length 2896
17:41:19.445685 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 5792:8688, ack 1, win 58, options [nop,nop,TS val 27729875 ecr 27729875], length 2896
17:41:19.448108 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 8688:11584, ack 1, win 58, options [nop,nop,TS val 27729876 ecr 27729875], length 2896
17:41:19.450530 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 11584:14480, ack 1, win 58, options [nop,nop,TS val 27729876 ecr 27729876], length 2896
17:41:19.452952 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 14480:17376, ack 1, win 58, options [nop,nop,TS val 27729877 ecr 27729876], length 2896
17:41:19.455375 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 17376:20272, ack 1, win 58, options [nop,nop,TS val 27729878 ecr 27729877], length 2896
17:41:19.457797 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 20272:23168, ack 1, win 58, options [nop,nop,TS val 27729878 ecr 27729878], length 2896
17:41:19.460220 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 23168:26064, ack 1, win 58, options [nop,nop,TS val 27729879 ecr 27729878], length 2896
17:41:19.462642 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 26064:28960, ack 1, win 58, options [nop,nop,TS val 27729879 ecr 27729879], length 2896
17:41:19.465065 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 28960:31856, ack 1, win 58, options [nop,nop,TS val 27729880 ecr 27729879], length 2896
